instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,percentcas,percentreg
1,1/1/11,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0,3,13,16,0.1875,0.8125
2,1/1/11,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0,8,32,40,0.2,0.8
3,1/1/11,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0,5,27,32,0.15625,0.84375
4,1/1/11,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0,3,10,13,0.230769231,0.769230769
5,1/1/11,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0,0,1,1,0,1
6,1/1/11,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,0,1
7,1/1/11,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0,2,0,2,1,0
8,1/1/11,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0,1,2,3,0.333333333,0.666666667
9,1/1/11,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0,1,7,8,0.125,0.875
10,1/1/11,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0,8,6,14,0.571428571,0.428571429
11,1/1/11,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,0.333333333,0.666666667
12,1/1/11,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,0.464285714,0.535714286
13,1/1/11,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,0.345238095,0.654761905
14,1/1/11,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,0.5,0.5
15,1/1/11,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,0.330188679,0.669811321
16,1/1/11,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,0.363636364,0.636363636
17,1/1/11,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,0.440860215,0.559139785
18,1/1/11,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,0.223880597,0.776119403
19,1/1/11,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,0.257142857,0.742857143
20,1/1/11,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,0.162162162,0.837837838
21,1/1/11,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,0.305555556,0.694444444
22,1/1/11,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,0.088235294,0.911764706
23,1/1/11,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,0.392857143,0.607142857
24,1/1/11,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,0.384615385,0.615384615
25,1/2/11,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,0.235294118,0.764705882
26,1/2/11,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,0.058823529,0.941176471
27,1/2/11,1,0,1,2,0,0,0,2,0.42,0.4242,1,0.2836,1,8,9,0.111111111,0.888888889
28,1/2/11,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,0.333333333,0.666666667
29,1/2/11,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,0.666666667,0.333333333
30,1/2/11,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,0,1
